doctor_name,doctor_specialization,starting_shift_time,end_shift_time,hospital_name,hospital_distance(km),num_of_available_beds
Dr. Jackson,Orthopedist,16:00,0:00,Regional Hospital,14.5,36
Dr. Lee,Radiologist,16:00,16:00,National Hospital,10.9,8
Dr. Thomas,General Surgeon,16:00,8:00,National Hospital,14.6,32
Dr. Thomas,Endocrinologist,16:00,16:00,County Hospital,9.8,16
Dr. Jackson,Endocrinologist,16:00,8:00,County Hospital,12.6,6
Dr. Brown,Pediatrician,16:00,16:00,City Hospital,6,17
Dr. Taylor,Oncologist,8:00,8:00,City Hospital,10.1,25
Dr. White,Psychiatrist,8:00,0:00,County Hospital,13.5,12
Dr. Brown,Neurologist,16:00,16:00,City Hospital,11.7,16
Dr. Lee,Neurologist,16:00,0:00,City Hospital,9.5,49
Dr. Johnson,Psychiatrist,16:00,0:00,County Hospital,6.6,45
Dr. Taylor,Cardiologist,8:00,16:00,County Hospital,6.5,47
Dr. Taylor,Endocrinologist,8:00,0:00,National Hospital,9.1,43
Dr. Taylor,Orthopedist,0:00,16:00,City Hospital,9.4,46
Dr. Jackson,Psychiatrist,8:00,8:00,County Hospital,4.3,33
Dr. Lee,Psychiatrist,16:00,16:00,State Hospital,4.8,32
Dr. Jackson,Psychiatrist,0:00,8:00,County Hospital,3.5,28
Dr. White,Oncologist,0:00,16:00,County Hospital,8.7,37
Dr. Anderson,Radiologist,16:00,16:00,National Hospital,12.2,18
Dr. Brown,Cardiologist,16:00,0:00,State Hospital,13.8,42
Dr. Johnson,General Surgeon,0:00,8:00,Regional Hospital,10.8,47
Dr. Williams,Endocrinologist,8:00,16:00,City Hospital,14.3,20
Dr. Brown,Orthopedist,8:00,16:00,Regional Hospital,13.6,35
Dr. Williams,Neurologist,0:00,16:00,National Hospital,3.2,45
Dr. Brown,Pediatrician,8:00,8:00,National Hospital,2.9,14
Dr. Taylor,Pediatrician,16:00,16:00,Regional Hospital,14.4,35
Dr. Thomas,Orthopedist,8:00,0:00,National Hospital,10.1,22
Dr. Johnson,Orthopedist,16:00,0:00,National Hospital,3.7,13
Dr. Johnson,Orthopedist,0:00,8:00,County Hospital,5.5,14
Dr. Anderson,Dermatologist,8:00,8:00,Regional Hospital,13.5,29
Dr. Anderson,General Surgeon,0:00,8:00,Regional Hospital,7.8,39
Dr. Williams,Cardiologist,8:00,16:00,City Hospital,3.2,44
Dr. Brown,Endocrinologist,8:00,16:00,National Hospital,14,49
Dr. Brown,Pediatrician,16:00,8:00,City Hospital,7.8,28
Dr. Anderson,Pediatrician,8:00,16:00,Regional Hospital,4.3,18
Dr. Jackson,Pediatrician,16:00,16:00,Regional Hospital,13,41
